epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
53,1261.71,1.1232,1.26243,1.10507,0.76963,0.64539,0.72384,0.43403,1.4131,1.26512,1.28971,0.00202507,0.000675023,0.00202507,0.000675023,0.00202507,0.000675023,0.00202507,0.000675023
54,1285.21,1.11168,1.19077,1.08909,0.73831,0.66825,0.71674,0.42939,1.41356,1.2795,1.29385,0.00201157,0.000670524,0.00201157,0.000670524,0.00201157,0.000670524,0.00201157,0.000670524
55,1307.67,1.10335,1.22331,1.09473,0.75976,0.64464,0.71421,0.42759,1.40704,1.24831,1.29003,0.00199807,0.000666024,0.00199807,0.000666024,0.00199807,0.000666024,0.00199807,0.000666024
56,1330.68,1.1128,1.18858,1.09316,0.76367,0.64911,0.72621,0.43553,1.3932,1.22629,1.2785,0.00198457,0.000661525,0.00198457,0.000661525,0.00198457,0.000661525,0.00198457,0.000661525
57,1353.92,1.13426,1.22441,1.10376,0.72596,0.66064,0.72704,0.43584,1.39137,1.23111,1.28226,0.00197108,0.000657025,0.00197108,0.000657025,0.00197108,0.000657025,0.00197108,0.000657025
58,1376.96,1.12482,1.19633,1.11119,0.736,0.6703,0.72987,0.43695,1.40065,1.22478,1.28671,0.00195758,0.000652526,0.00195758,0.000652526,0.00195758,0.000652526,0.00195758,0.000652526
59,1400.94,1.13548,1.18705,1.10953,0.77033,0.63553,0.72254,0.43032,1.3889,1.22082,1.28125,0.00194408,0.000648026,0.00194408,0.000648026,0.00194408,0.000648026,0.00194408,0.000648026
60,1422.73,1.09674,1.19322,1.10022,0.75971,0.66022,0.71933,0.43827,1.39633,1.23539,1.28805,0.00193058,0.000643527,0.00193058,0.000643527,0.00193058,0.000643527,0.00193058,0.000643527
61,1446.46,1.12335,1.19241,1.09499,0.76177,0.67158,0.73281,0.44037,1.39825,1.22015,1.28517,0.00191708,0.000639027,0.00191708,0.000639027,0.00191708,0.000639027,0.00191708,0.000639027
62,1470.44,1.08518,1.1773,1.07882,0.77714,0.6447,0.73061,0.44239,1.402,1.21406,1.28931,0.00190358,0.000634527,0.00190358,0.000634527,0.00190358,0.000634527,0.00190358,0.000634527
63,1492.95,1.09143,1.14068,1.08594,0.71621,0.69415,0.72841,0.44537,1.39615,1.21971,1.28459,0.00189008,0.000630028,0.00189008,0.000630028,0.00189008,0.000630028,0.00189008,0.000630028
64,1515.84,1.11354,1.13377,1.09288,0.79072,0.64722,0.73026,0.44057,1.39894,1.20469,1.28675,0.00187659,0.000625528,0.00187659,0.000625528,0.00187659,0.000625528,0.00187659,0.000625528
65,1538.8,1.08826,1.11586,1.08161,0.77741,0.66627,0.72498,0.43733,1.40837,1.21498,1.29011,0.00186309,0.000621029,0.00186309,0.000621029,0.00186309,0.000621029,0.00186309,0.000621029
66,1563.23,1.06996,1.18767,1.08118,0.7568,0.67364,0.72839,0.43965,1.41467,1.2079,1.30082,0.00184959,0.000616529,0.00184959,0.000616529,0.00184959,0.000616529,0.00184959,0.000616529
67,1587.59,1.11187,1.15022,1.09712,0.80398,0.63229,0.71774,0.43262,1.42279,1.22302,1.30054,0.00183609,0.00061203,0.00183609,0.00061203,0.00183609,0.00061203,0.00183609,0.00061203
68,1611.76,1.09355,1.16418,1.09996,0.74596,0.67175,0.72264,0.43831,1.39824,1.21097,1.28176,0.00182259,0.00060753,0.00182259,0.00060753,0.00182259,0.00060753,0.00182259,0.00060753
69,1635.89,1.09127,1.1321,1.08429,0.75058,0.67804,0.71814,0.42581,1.40759,1.24029,1.28802,0.00180909,0.000603031,0.00180909,0.000603031,0.00180909,0.000603031,0.00180909,0.000603031
70,1659.78,1.08099,1.10099,1.08072,0.75817,0.69358,0.73264,0.43686,1.39917,1.21602,1.28245,0.00179559,0.000598531,0.00179559,0.000598531,0.00179559,0.000598531,0.00179559,0.000598531
71,1682.75,1.06977,1.10537,1.07243,0.75458,0.69013,0.73383,0.43408,1.40232,1.20898,1.28691,0.00178209,0.000594031,0.00178209,0.000594031,0.00178209,0.000594031,0.00178209,0.000594031
72,1706.03,1.08156,1.13292,1.08018,0.77032,0.68983,0.72924,0.43515,1.40212,1.21174,1.29453,0.0017686,0.000589532,0.0017686,0.000589532,0.0017686,0.000589532,0.0017686,0.000589532
73,1727.83,1.08507,1.09505,1.08804,0.7806,0.65853,0.72539,0.439,1.3987,1.20262,1.2947,0.0017551,0.000585032,0.0017551,0.000585032,0.0017551,0.000585032,0.0017551,0.000585032
74,1751.48,1.0568,1.08801,1.06143,0.81019,0.65312,0.71685,0.43095,1.40695,1.21897,1.29986,0.0017416,0.000580533,0.0017416,0.000580533,0.0017416,0.000580533,0.0017416,0.000580533
75,1774.11,1.05912,1.08689,1.07211,0.79552,0.64813,0.71145,0.42862,1.41548,1.23327,1.30543,0.0017281,0.000576033,0.0017281,0.000576033,0.0017281,0.000576033,0.0017281,0.000576033
76,1797.68,1.06658,1.09718,1.08677,0.77393,0.65637,0.72156,0.43611,1.40577,1.21094,1.29863,0.0017146,0.000571534,0.0017146,0.000571534,0.0017146,0.000571534,0.0017146,0.000571534
77,1821.21,1.03204,1.11491,1.07816,0.7934,0.64796,0.72606,0.43863,1.41167,1.21039,1.29575,0.0017011,0.000567034,0.0017011,0.000567034,0.0017011,0.000567034,0.0017011,0.000567034
78,1843.74,1.04893,1.07818,1.06861,0.74824,0.68958,0.71934,0.43469,1.39695,1.21303,1.27901,0.0016876,0.000562535,0.0016876,0.000562535,0.0016876,0.000562535,0.0016876,0.000562535
79,1867.55,1.03331,1.04713,1.05518,0.78278,0.6721,0.72143,0.43539,1.39774,1.20515,1.27988,0.00167411,0.000558035,0.00167411,0.000558035,0.00167411,0.000558035,0.00167411,0.000558035
80,1890.35,1.07627,1.08,1.07052,0.78594,0.66207,0.72146,0.43621,1.40213,1.17998,1.28316,0.00166061,0.000553536,0.00166061,0.000553536,0.00166061,0.000553536,0.00166061,0.000553536
